,speaker,session,mic,prompt_id,has_spect,spect_width,spect_height,prompt,url,filepath,awstranslate
1211,F03,Session2,wav_arrayMic,386,yes,43,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0386.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0386.wav,But
237,F01,Session1,wav_arrayMic,104,yes,202,513,yet he still thinks as swiftly as ever.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_arrayMic/0104.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_arrayMic/0104.wav,"Yeah, you think?"
1135,F03,Session2,wav_arrayMic,310,yes,38,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0310.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0310.wav,Thanks.
2449,M01,Session1,wav_headMic,59,no,None,None,air,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0059.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0059.wav,
4317,M03,Session2,wav_headMic,346,yes,186,513,Nothing has been done yet to take advantage of the enabling legislation.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0346.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0346.wav,Nothing has been done yet to take advantage of the enabling legislation.
2114,F04,Session2,wav_headMic,223,yes,257,513,He really crucified him; he nailed it for a yard loss.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0223.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0223.wav,He really crucified him. He mails it for a yard loss.
3092,M01,Session2_3,wav_arrayMic,217,yes,75,513,kitten,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0217.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0217.wav,Give it to.
708,F03,Session2,wav_headMic,33,yes,154,513,Two other cases were also under advisement.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0033.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0033.wav,Two other cases who are also under abridgement.
4868,M04,Session1,wav_arrayMic,60,yes,75,513,park,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0060.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0060.wav,Book.
3256,M02,Session1,wav_headMic,94,yes,76,513,storm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0094.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0094.wav,Storm.
3411,M02,Session1,wav_arrayMic,9,yes,47,513,pat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0009.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0009.wav,Part.
1101,F03,Session2,wav_arrayMic,276,yes,47,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0276.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0276.wav,Rock.
1838,F04,Session1,wav_arrayMic,146,yes,47,513,white,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0146.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0146.wav,Wait.
5245,M04,Session2,wav_arrayMic,12,yes,51,513,feet,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0012.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0012.wav,Did you hear?
4925,M04,Session1,wav_arrayMic,118,yes,75,513,yes,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0118.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0118.wav,Yeah.
2264,F04,Session2,wav_arrayMic,124,yes,75,513,hitting,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0124.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0124.wav,Fitting.
2565,M01,Session1,wav_arrayMic,75,yes,108,513,rave,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_arrayMic/0075.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_arrayMic/0075.wav,Ray.
4119,M03,Session2,wav_headMic,148,yes,75,513,area,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0148.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0148.wav,Area.
3874,M02,Session2,wav_arrayMic,138,yes,94,513,fill,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0138.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0138.wav,Trail.
1890,F04,Session1,wav_arrayMic,198,yes,108,513,Just one side got wet.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0198.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0198.wav,Just once I got wet.
2836,M01,Session2_3,wav_headMic,248,yes,52,513,spit,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0248.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0248.wav,
4902,M04,Session1,wav_arrayMic,95,yes,80,513,rain,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session1/wav_arrayMic/0095.wav,/home/jovyan/work/data/TORGO/M04/Session1/wav_arrayMic/0095.wav,Right?
2962,M01,Session2_3,wav_arrayMic,87,yes,104,513,thigh,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0087.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0087.wav,Yeah.
4585,M03,Session2,wav_arrayMic,194,yes,136,513,I just try to do my best.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0194.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0194.wav,I just try to do my best.
1503,F03,Session3,wav_arrayMic,21,yes,113,513,sight,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0021.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0021.wav,Right?
2407,M01,Session1,wav_headMic,17,no,None,None,bubble,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0017.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0017.wav,Bird book.
4687,M03,Session2,wav_arrayMic,300,yes,150,513,The museum hires musicians every evening.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0300.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0300.wav,The museum hires musicians every evening.
4606,M03,Session2,wav_arrayMic,215,yes,90,513,air,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0215.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0215.wav,Air.
4781,M03,Session2,wav_arrayMic,394,yes,94,513,victor,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0394.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0394.wav,Victor.
3177,M02,Session1,wav_headMic,15,yes,68,513,rain,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0015.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0015.wav,Raines.
3102,M01,Session2_3,wav_arrayMic,227,yes,183,513,The box contained three sweaters.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0227.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0227.wav,"There, boy can. They were."
2725,M01,Session2_3,wav_headMic,136,yes,41,513,cheer,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0136.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0136.wav,Here.
232,F01,Session1,wav_arrayMic,0099,yes,71,513,stubble,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_arrayMic/0099.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_arrayMic/0099.wav,Gumbel.
1397,F03,Session3,wav_headMic,0128,yes,46,513,rock,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0128.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0128.wav,Ready.
4369,M03,Session2,wav_headMic,0398,yes,118,513,Each one volunteered to jump first.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0398.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0398.wav,Each one volunteered to jump first.
3230,M02,Session1,wav_headMic,0068,yes,80,513,floor,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0068.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0068.wav,Sure.
4485,M03,Session2,wav_arrayMic,0094.wavTMP,yes,263,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0094.wavTMP.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0094.wavTMP.wav,Ah.
4016,M03,Session2,wav_headMic,0045,yes,161,513,She had your dark suit in greasy wash water all year.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0045.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0045.wav,She had your dark suit in greasy wash water all year.
5793,M05,Session2,wav_headMic,0008,yes,280,513,I feel I can play this weekend.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0008.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0008.wav,I can I feel I can be a this weekend.
4505,M03,Session2,wav_arrayMic,0114,yes,94,513,the,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0114.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0114.wav,V.
3866,M02,Session2,wav_arrayMic,0130,yes,94,513,seed,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0130.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0130.wav,You're right.
3666,M02,Session2,wav_headMic,0097,yes,79,513,echo,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0097.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0097.wav,Go.
3151,M01,Session2_3,wav_arrayMic,0276,yes,57,513,mush,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0276.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0276.wav,Murder.
1594,F03,Session3,wav_arrayMic,0112,yes,61,513,cash,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0112.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0112.wav,Cash.
3245,M02,Session1,wav_headMic,0083,yes,72,513,double,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0083.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0083.wav,Dabo.
3181,M02,Session1,wav_headMic,0019,yes,61,513,park,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0019.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0019.wav,Homework.
1655,F03,Session3,wav_arrayMic,0173,yes,61,513,red,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0173.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0173.wav,
4980,M04,Session2,wav_headMic,0046,yes,349,513,"We have often urged him to walk more and smoke less, ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0046.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0046.wav,We have hot and to do you want more and more like
5250,M04,Session2,wav_arrayMic,0017,yes,70,513,storm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0017.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0017.wav,Don't.
1585,F03,Session3,wav_arrayMic,0103,yes,85,513,dice,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0103.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0103.wav,Sorry.
3758,M02,Session2,wav_headMic,0189,yes,94,513,blow,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0189.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0189.wav,
2445,M01,Session1,wav_headMic,0055,no,None,None,feed,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0055.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0055.wav,
6085,M05,Session2,wav_headMic,0300,yes,48,513,xxx,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0300.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0300.wav,
1472,F03,Session3,wav_headMic,0203,yes,63,513,sheet,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0203.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0203.wav,Shoot.
2402,M01,Session1,wav_headMic,0012,no,None,None,"A long, flowing beard clings to his chin,",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0012.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0012.wav,"I be going, Teo? Shit."
4013,M03,Session2,wav_headMic,0042,yes,131,513,chair,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0042.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0042.wav,Chair.
3699,M02,Session2,wav_headMic,0130,yes,85,513,seed,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0130.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0130.wav,Here.
4507,M03,Session2,wav_arrayMic,0116,yes,94,513,rave,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0116.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0116.wav,Rave.
326,F03,Session1,wav_headMic,0059,yes,56,513,rake,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0059.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0059.wav,Great.
3035,M01,Session2_3,wav_arrayMic,0160,yes,254,513,This is not a program of socialized medicine.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0160.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0160.wav,They know a burger booth.
1185,F03,Session2,wav_arrayMic,0360,yes,61,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0360.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0360.wav,Life is sure in process.
3104,M01,Session2_3,wav_arrayMic,0229,yes,57,513,mitten,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0229.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0229.wav,
4465,M03,Session2,wav_arrayMic,0074,yes,136,513,"but he always answers, ""Banana oil!"" ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0074.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0074.wav,"But he always answers, Been in oil."
1660,F03,Session3,wav_arrayMic,0180,yes,61,513,catch,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0180.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0180.wav,Cat.
2657,M01,Session2_3,wav_headMic,0068,yes,51,513,boot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0068.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0068.wav,Bull.
4966,M04,Session2,wav_headMic,0032,yes,324,513,Don't ask me to carry an oily rag like that.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0032.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0032.wav,Don't me. Tio. I like that.
3431,M02,Session1,wav_arrayMic,0029,yes,43,513,one,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0029.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0029.wav,Wrong.
468,F03,Session1,wav_headMic,0201,yes,43,513,air,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0201.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0201.wav,Fair.
5110,M04,Session2,wav_headMic,0176,yes,125,513,galore,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0176.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0176.wav,Together.
704,F03,Session2,wav_headMic,0029,yes,253,513,"Everything went real smooth, the sheriff said. ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0029.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0029.wav,Everything went really smooth the shirt.
386,F03,Session1,wav_headMic,0119,yes,36,513,warm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0119.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0119.wav,One.
6076,M05,Session2,wav_headMic,0291,yes,333,513,The wait for work can be very do it again,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0291.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0291.wav,Their weight fluid game we re dear.
5889,M05,Session2,wav_headMic,0104,yes,108,513,near,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0104.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0104.wav,Mir.
515,F03,Session1,wav_arrayMic,0044,yes,33,513,sheet,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0044.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0044.wav,Shoot.
5065,M04,Session2,wav_headMic,0131,yes,76,513,wish,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0131.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0131.wav,Wood.
1592,F03,Session3,wav_arrayMic,0110,yes,71,513,nice,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0110.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0110.wav,Not life.
5949,M05,Session2,wav_headMic,0164,yes,112,513,leak,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0164.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0164.wav,Z.
5869,M05,Session2,wav_headMic,0084,yes,80,513,gnaw,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0084.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0084.wav,Don't.
1968,F04,Session2,wav_headMic,0077,yes,75,513,sign,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0077.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0077.wav,Sign.
4093,M03,Session2,wav_headMic,0122,yes,83,513,wish,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0122.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0122.wav,I wish.
1448,F03,Session3,wav_headMic,0179,yes,82,513,dice,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0179.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0179.wav,
3612,M02,Session1,wav_arrayMic,0210,yes,146,513,You're used to being on the field.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0210.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0210.wav,"Yes, it is really hard."
5243,M04,Session2,wav_arrayMic,0010,yes,47,513,left,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0010.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0010.wav,Let
4950,M04,Session2,wav_headMic,0016,yes,98,513,jacket,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0016.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0016.wav,Is that good?
1575,F03,Session3,wav_arrayMic,0093,yes,57,513,papa,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0093.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0093.wav,
278,F03,Session1,wav_headMic,0011,yes,180,513,She had your dark suit in greasy wash water all year.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0011.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0011.wav,"She had your docks, your dark suit in greasy wash water all year."
1929,F04,Session2,wav_headMic,0038,yes,70,513,peer,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0038.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0038.wav,Here.
5425,M04,Session2,wav_arrayMic,0194,yes,484,513,"If you destroy confidence in banks, you do something to the economy, he said.",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0194.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0194.wav,If you did Providence and then you do some toe by famine. He did.
1133,F03,Session2,wav_arrayMic,0308,yes,47,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0308.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0308.wav,Ready.
2118,F04,Session2,wav_headMic,0227,yes,230,513,People who value themselves are life's winners.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0227.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0227.wav,People who value themselves arrives winners.
3435,M02,Session1,wav_arrayMic,0033,yes,52,513,share,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0033.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0033.wav,Sure.
973,F03,Session2,wav_arrayMic,0143,yes,99,513,The books are very expensive.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0143.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0143.wav,Her books are read from exposure.
3343,M02,Session1,wav_headMic,0181,yes,74,513,bad,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0181.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0181.wav,
283,F03,Session1,wav_headMic,0016,yes,86,513,swarm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0016.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0016.wav,Swarm.
2010,F04,Session2,wav_headMic,0119,yes,227,513,Nothing has been done yet to take advantage of the enabling legislation.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0119.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0119.wav,Nothing has been done yet to take advantage of the enabling legislation.
2776,M01,Session2_3,wav_headMic,0187,yes,153,513,There is a treehouse up above.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0187.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0187.wav,They're the very Ah ah ah ah
4602,M03,Session2,wav_arrayMic,0211,yes,136,513,I feel I can play this weekend.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0211.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0211.wav,I feel I can play this weekend.
3620,M02,Session1,wav_arrayMic,0218,yes,47,513,prior,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0218.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0218.wav,Try.
5428,M04,Session2,wav_arrayMic,0197,yes,54,513,error,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0197.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0197.wav,
3445,M02,Session1,wav_arrayMic,0043,yes,47,513,know,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_arrayMic/0043.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_arrayMic/0043.wav,No.
807,F03,Session2,wav_headMic,0133,yes,300,513,It eventually became a rather proud claim.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0133.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0133.wav,It eventually became I rather her proud spring.
1381,F03,Session3,wav_headMic,0112,yes,55,513,cash,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0112.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0112.wav,Kirsch.
5909,M05,Session2,wav_headMic,0124,yes,193,513,I was conscious all the time.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session2/wav_headMic/0124.wav,/home/jovyan/work/data/TORGO/M05/Session2/wav_headMic/0124.wav,"Oh, always going. Oh, that."
3014,M01,Session2_3,wav_arrayMic,0139,yes,61,513,know,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0139.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0139.wav,No.
2346,F04,Session2,wav_arrayMic,0206,yes,132,513,The books are very expensive.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0206.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0206.wav,The books are very expensive.
2103,F04,Session2,wav_headMic,0212,yes,61,513,knot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0212.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0212.wav,Not.
5500,M04,Session2,wav_arrayMic,0270,yes,86,513,tile,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0270.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0270.wav,I don't.
